Year, Documentary, Drama, Comedy, Biography, Thriller, Romance, Horror, Action, History, Family, Music, Adventure, Crime, Mystery, Sport, Fantasy, News, Sci-Fi, Animation, War, Musical, Reality-TV, Talk-Show, Western, Adult, Game-Show, Short, Film-Noir
1894,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1897,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
1898,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1899,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0
1900,4,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1901,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0
1902,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1903,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1904,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1905,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1906,14,2,1,1,0,0,0,0,0,0,0,0,1,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0
1907,2,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1908,5,4,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1909,16,10,5,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0
1910,25,21,4,1,0,1,0,0,3,1,0,2,2,1,3,1,0,0,0,1,2,0,0,1,0,0,0,0
1911,16,54,7,1,1,3,0,1,2,0,0,2,1,0,0,2,0,1,0,3,0,0,0,2,0,0,1,0
1912,31,114,13,1,10,13,2,2,4,0,0,6,4,2,0,2,0,0,2,3,0,0,0,2,0,0,1,0
1913,39,251,28,4,10,19,1,5,13,0,2,15,35,6,3,6,0,1,0,6,1,0,0,4,0,0,0,0
1914,56,515,69,5,17,31,5,13,20,2,0,37,57,12,1,6,0,0,0,23,0,0,0,15,1,0,0,0
1915,63,740,128,6,8,61,7,19,27,1,1,55,76,38,7,7,0,3,0,37,0,0,0,29,0,0,0,0
1916,43,1088,177,4,11,96,10,33,22,1,1,40,103,31,4,12,0,8,0,33,0,0,0,40,0,0,1,0
1917,24,1048,207,12,6,90,10,26,23,6,2,48,120,37,5,24,0,2,1,44,1,0,0,78,0,0,0,0
1918,71,947,291,9,13,131,6,30,16,4,0,44,79,44,3,15,0,4,3,72,0,0,0,89,0,0,0,0
1919,71,930,323,5,11,138,11,40,19,0,1,76,128,29,14,9,2,3,2,26,1,0,0,85,0,0,1,0
1920,71,851,242,4,7,90,23,44,14,1,0,94,135,51,13,10,0,4,1,11,3,0,0,78,1,0,0,0
1921,55,612,237,2,8,122,11,39,11,5,0,76,73,55,4,19,0,6,2,5,2,0,0,96,0,0,0,0
1922,49,578,202,8,12,143,7,49,19,8,0,66,65,24,11,11,0,3,1,6,2,0,0,129,0,0,0,0
1923,83,518,177,9,8,102,8,38,18,4,1,61,53,19,13,16,0,1,3,10,0,0,0,108,0,0,0,0
1924,39,505,157,3,8,115,6,58,17,5,0,54,51,22,8,10,0,3,3,9,3,1,0,171,0,0,0,0
1925,86,555,216,4,7,143,7,92,12,5,0,93,42,11,11,10,0,6,9,10,2,1,0,218,0,0,0,0
1926,84,639,259,6,16,208,8,130,13,2,1,119,57,19,8,8,0,0,3,20,2,0,0,163,0,0,0,0
1927,116,720,276,5,13,180,10,87,17,7,1,74,58,16,12,3,0,1,2,30,2,0,0,138,0,0,0,1
1928,111,720,236,9,17,166,6,95,30,7,2,78,52,21,9,3,0,0,1,29,4,1,0,131,0,0,0,2
1929,99,647,182,4,19,157,7,60,20,4,11,78,78,40,14,1,1,4,0,17,69,0,0,86,0,0,0,1
1930,132,618,291,6,7,231,3,71,10,7,27,66,97,31,9,10,0,2,3,21,144,0,0,69,0,0,0,1
1931,74,729,336,8,17,201,13,66,9,5,7,57,126,40,8,7,1,5,3,25,80,0,0,80,0,0,0,3
1932,241,687,360,5,18,200,22,81,15,5,7,71,135,60,28,10,0,5,6,18,68,0,0,86,0,0,0,4
1933,237,691,392,9,15,213,17,65,13,6,20,62,112,54,11,12,1,9,1,31,85,0,0,53,0,0,0,1
1934,85,707,407,14,16,243,16,71,22,10,24,88,110,67,10,11,0,7,2,17,119,0,0,49,1,0,0,1
1935,70,684,434,12,21,263,19,138,24,14,39,115,135,65,11,19,5,10,5,16,119,0,0,105,0,0,0,1
1936,233,729,484,16,25,234,19,110,34,27,42,105,170,66,15,12,2,13,5,23,126,0,0,95,0,0,0,5
1937,204,753,504,12,25,295,7,138,34,30,62,125,169,57,18,13,2,5,5,45,131,0,0,97,0,0,0,9
1938,87,782,507,16,18,257,3,123,34,26,61,127,165,69,22,8,2,8,4,55,122,0,0,77,0,0,0,3
1939,89,736,459,22,24,195,28,136,30,35,62,132,179,63,10,17,0,7,1,45,97,0,0,97,1,1,0,8
